vgsales_ID,Game_Name,Release_Year,Genre,Publisher,Platform,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
vgsales_ID_25,101-in-1 Party Megamix Wii,2009,Misc,Nordcurrent,Wii,0.19,0.01,0,0.02,0.23
vgsales_ID_26,101-in-1 Sports Megamix,2010,Sports,Nordcurrent,DS,0.08,0,0,0.01,0.08
vgsales_ID_27,101-in-1 Sports Party Megamix,2010,Sports,Nordcurrent,Wii,0.02,0,0,0,0.03
vgsales_ID_28,1080°: TenEighty Snowboarding,1998,Sports,Nintendo,N64,1.25,0.61,0.13,0.05,2.03
vgsales_ID_29,11eyes: CrossOver,2009,Adventure,5pb,X360,0,0,0.02,0,0.02
vgsales_ID_30,11eyes: CrossOver,2010,Adventure,5pb,PSP,0,0,0.02,0,0.02
vgsales_ID_31,12-Sai. Honto no Kimochi,2014,Adventure,Happinet,3DS,0,0,0.07,0,0.07
vgsales_ID_32,12-Sai. Koisuru Diary,2016,Adventure,Happinet,3DS,0,0,0.04,0,0.04
vgsales_ID_33,12Riven: The Psi-Climinal of Integral,2008,Adventure,CyberFront,PS2,0,0,0.04,0,0.04
vgsales_ID_34,15 Days,2009,Adventure,DTP Entertainment,PC,0,0.01,0,0,0.01
vgsales_ID_35,1701 A.D.,2006,Simulation,Deep Silver,PC,0,0.25,0,0.05,0.3
vgsales_ID_36,18 Wheeler: American Pro Trucker,2001,Racing,Acclaim Entertainment,PS2,0.2,0.15,0,0.05,0.4
vgsales_ID_37,18 Wheeler: American Pro Trucker,2002,Racing,Acclaim Entertainment,GC,0.09,0.02,0,0,0.11
vgsales_ID_38,18 Wheels of Steel: Extreme Trucker,2009,Racing,Rondomedia,PC,0,0.02,0,0,0.02
vgsales_ID_39,18 Wheels of Steel: Extreme Trucker 2,2011,Racing,Rondomedia,PC,0.08,0.02,0,0.01,0.11
vgsales_ID_40,187: Ride or Die,2005,Racing,Ubisoft,"PS2, XB",0.12,0.07,0,0.02,0.21
vgsales_ID_41,1942,1985,Shooter,Capcom,NES,0.65,0.14,0.21,0,1
vgsales_ID_42,2 Games in 1 Double Pack: Hot Wheels Velocity X / Hot Wheels World Race,2005,Racing,THQ,GBA,0.09,0.03,0,0,0.12
vgsales_ID_43,2 Games in 1 Double Pack: The Incredibles / Finding Nemo: The Continuing Adventures,2007,Action,THQ,GBA,1.26,0.47,0,0.03,1.76
vgsales_ID_44,2 Games in 1: Disney Princess & The Lion King,2004,Misc,THQ,GBA,1.25,0.46,0,0.03,1.75
vgsales_ID_45,2 Games in 1: Disney's Brother Bear / The Lion King 1 1/2,2005,Action,THQ,GBA,0.22,0.08,0,0.01,0.31
vgsales_ID_46,2 Games in 1: Sonic Advance & ChuChu Rocket!,2005,Misc,THQ,GBA,1.31,0.49,0,0.03,1.83
vgsales_ID_47,2 Games in 1: Sonic Battle & ChuChu Rocket!,2005,Misc,THQ,GBA,0.44,0.16,0,0.01,0.61
vgsales_ID_48,2 Games in 1: Sonic Pinball Party & Columns Crown,2005,Misc,Sega,GBA,0.04,0.02,0,0,0.06
vgsales_ID_49,2 Games in 1: SpongeBob SquarePants: SuperSponge & Rugrats Go Wild,2005,Platform,THQ,GBA,0.33,0.12,0,0.01,0.45
vgsales_ID_50,2 in 1 Combo Pack: Sonic Heroes / Super Monkey Ball Deluxe,2004,Misc,Sega,XB,0.4,0.11,0,0.02,0.53
vgsales_ID_51,2 in 1 Combo Pack: Sonic Heroes / Super Monkey Ball Deluxe,2013,Misc,Ubisoft,X360,0.09,0.01,0,0.01,0.12
vgsales_ID_52,2-in-1 Game Pack: Spider-Man & Spider-Man 2,2005,Platform,Activision,GBA,0.06,0.02,0,0,0.09
vgsales_ID_53,2002 FIFA World Cup,2002,Sports,Electronic Arts,"PS2, XB, GC",0.39,0.22,0.16,0.07,0.83
vgsales_ID_54,2010 FIFA World Cup South Africa,2010,Sports,Electronic Arts,"PS3, X360, PSP, Wii",0.94,1.46,0.13,0.47,3
vgsales_ID_55,2014 FIFA World Cup Brazil,2014,Sports,Electronic Arts,"PS3, X360",0.29,0.67,0.01,0.2,1.18
vgsales_ID_56,24: The Game,2006,Adventure,Sony Computer Entertainment,PS2,0.15,0.12,0,0.04,0.3
vgsales_ID_57,25 to Life,2006,Shooter,Eidos Interactive,"PS2, XB",0.47,0.05,0,0.07,0.59
vgsales_ID_58,2Xtreme,1996,Sports,Sony Computer Entertainment,PS,1.15,0.2,0,0.05,1.4
vgsales_ID_59,"3 in 1: Solitaire, Mahjong & Tangram",2010,Misc,Deep Silver,DS,0,0.07,0,0.01,0.08
vgsales_ID_60,300: March to Glory,2007,Action,Warner Bros. Interactive Entertainment,PSP,0.27,0.08,0,0.06,0.41
vgsales_ID_61,3D Baseball,1996,Sports,BMG Interactive Entertainment,PS,0.02,0.01,0,0,0.03
vgsales_ID_62,3D Dot Game Heroes,2009,Role-Playing,SouthPeak Games,PS3,0.36,0.12,0.03,0.07,0.57
vgsales_ID_63,3D Lemmings,1995,Puzzle,Psygnosis,PS,0.03,0.02,0,0,0.06
vgsales_ID_64,3D Tank Warfare Simulator Panzer Front,1999,Simulation,Avalon Interactive,PS,0.06,0.04,0,0.01,0.1
vgsales_ID_65,3DS Classic Collection,2016,Misc,Sega,3DS,0.02,0,0,0,0.03
vgsales_ID_66,3Xtreme,1999,Action,989 Studios,PS,0.5,0.34,0,0.06,0.9
vgsales_ID_67,3rd Super Robot Wars Z Jigoku Hen,2014,Role-Playing,Namco Bandai Games,"PS3, PSV",0,0,0.42,0,0.42
vgsales_ID_68,3rd Super Robot Wars Z: Tengoku-Hen,2015,Action,Namco Bandai Games,"PSV, PS3",0,0,0.34,0,0.34
vgsales_ID_69,4 Elements,2009,Puzzle,Mastertronic,PC,0,0.04,0,0.01,0.05
vgsales_ID_70,4 Game Fun Pack: Monopoly / Boggle / Yahtzee / Battleship,2005,Misc,Atari,DS,0.11,0,0,0.01,0.12
vgsales_ID_71,4 Nin uchi Mahjong,1984,Misc,Nintendo,NES,0,0,1.45,0,1.45
vgsales_ID_72,40 Winks,1999,Platform,GT Interactive,PS,0.17,0.12,0,0.02,0.31
vgsales_ID_73,428: Fuusa Sareta Shibuya de,2008,Adventure,Sega,Wii,0,0,0.13,0,0.13
vgsales_ID_74,428: Fuusa Sareta Shibuya de,2009,Adventure,Spike,"PSP, PS3",0,0,0.06,0,0.06
vgsales_ID_75,4x4 EVO 2,2001,Racing,Gathering of Developers,XB,0.18,0.05,0,0.01,0.24
vgsales_ID_76,4x4 EVO 2,2002,Racing,Vivendi Games,GC,0.11,0.03,0,0,0.14
vgsales_ID_77,4x4 Evolution,2001,Racing,Gathering of Developers,PS2,0.16,0.12,0,0.04,0.32
vgsales_ID_78,50 Cent: Blood on the Sand,2009,Shooter,THQ,"X360, PS3",0.22,0.13,0.01,0.05,0.4
vgsales_ID_79,50 Cent: Bulletproof,2005,Action,Vivendi Games,"PS2, XB",1.18,0.86,0,0.18,2.21
vgsales_ID_80,50 Cent: Bulletproof,2006,Action,Vivendi Games,PSP,0.08,0,0,0.01,0.09
vgsales_ID_81,50 Classic Games,2009,Misc,Destineer,DS,0.52,0,0,0.04,0.55
vgsales_ID_82,50 Classic Games,2012,Misc,Avanquest Software,3DS,0,0.02,0,0,0.02
vgsales_ID_83,64 de Hakken! Tamagotchi Minna de Tamagotchi World,1997,Misc,Namco Bandai Games,N64,0,0,0.22,0,0.22
vgsales_ID_84,7 Days to Die,2016,Action,Telltale Games,"PS4, XOne",0.05,0.09,0,0.02,0.16
vgsales_ID_85,7 Roses: A Darkness Rises,2015,Misc,Avanquest Software,PC,0,0.02,0,0,0.02
vgsales_ID_86,7 Wonders II,2009,Puzzle,Rondomedia,DS,0.14,0.15,0,0.03,0.32
vgsales_ID_87,7 Wonders of the Ancient World,2007,Puzzle,Funsta,DS,0.1,0.01,0,0.01,0.13
vgsales_ID_88,7 Wonders of the Ancient World,2007,Puzzle,Mumbo Jumbo,PSP,0.07,0,0,0.01,0.08
vgsales_ID_89,7 Wonders: Treasures of Seven,2011,Puzzle,Avanquest,DS,0.02,0.03,0,0.01,0.05
vgsales_ID_90,7th Dragon,2009,Role-Playing,Sega,DS,0,0,0.14,0,0.14
vgsales_ID_91,7th Dragon 2020,2011,Role-Playing,Sega,PSP,0,0,0.2,0,0.2
vgsales_ID_92,7th Dragon 2020-II,2013,Role-Playing,Sega,PSP,0,0,0.13,0,0.13
vgsales_ID_93,7th Dragon III Code: VFD,2015,Role-Playing,Sega,3DS,0.03,0,0.12,0,0.16
vgsales_ID_94,99 no Namida,2008,Adventure,Namco Bandai Games,DS,0,0,0.04,0,0.04
vgsales_ID_95,"999: Nine Hours, Nine Persons, Nine Doors",2009,Adventure,ChunSoft,DS,0.37,0,0.03,0.03,0.43
vgsales_ID_96,A Boy and His Blob,2009,Platform,Majesco Entertainment,Wii,0.19,0.02,0,0.02,0.22
vgsales_ID_97,A Bug's Life,1998,Platform,Activision,N64,0.49,0.13,0,0.01,0.63
vgsales_ID_98,A Bug's Life,1998,Platform,Sony Computer Entertainment,PS,1.96,0.72,0,0.11,2.79
vgsales_ID_99,A Collection of Activision Classic Games for the Atari 2600,1998,Misc,Activision,PS,0.76,0.52,0,0.09,1.37
vgsales_ID_100,A Collection of Classic Games from the Intellivision,1999,Misc,Activision,PS,0.17,0.12,0,0.02,0.31
vgsales_ID_101,A Game of Thrones: Genesis,2011,Strategy,Focus Home Interactive,PC,0,0.03,0,0.01,0.04
vgsales_ID_102,A Good Librarian Like a Good Shepherd: Library Party,2015,Action,Kaga Create,PSV,0,0,0.03,0,0.03
vgsales_ID_103,A New Beginning,2010,Adventure,Deep Silver,PC,0,0.05,0,0.01,0.06
vgsales_ID_104,A Ressha de Gyoukou 2001,2001,Simulation,ArtDink,PS2,0,0,0.03,0,0.03
vgsales_ID_105,A Ressha de Ikou DS,2009,Simulation,ArtDink,DS,0,0,0.04,0,0.04
vgsales_ID_106,A Vampyre Story,2008,Adventure,Crimson Cow,PC,0,0.01,0,0,0.02
vgsales_ID_107,A Witch's Tale,2009,Role-Playing,Nippon Ichi Software,DS,0.08,0,0.03,0.01,0.11
vgsales_ID_108,A llI S.V.: A Ressha de Gyoukou 3 Super Version,1995,Simulation,Pack-In-Video,SNES,0,0,0.06,0,0.06
vgsales_ID_109,A-Train,1995,Simulation,Sony Computer Entertainment,PS,0.02,0.01,0.04,0.01,0.08
vgsales_ID_110,A-Train 6,2000,Strategy,Midas Interactive Entertainment,PS2,0,0,0.06,0,0.06
vgsales_ID_111,A-Train: City Simulator,2014,Simulation,ArtDink,3DS,0,0,0.06,0,0.06
vgsales_ID_112,A. IV Evolution: A Ressha de Ikou 4,1994,Strategy,ArtDink,PS,0,0,0.24,0.02,0.25
vgsales_ID_113,A.C.E.: Another Century's Episode,2005,Simulation,Banpresto,PS2,0,0,0.26,0,0.26
vgsales_ID_114,A.C.E.: Another Century's Episode 2,2006,Simulation,Banpresto,PS2,0,0,0.18,0,0.18
vgsales_ID_115,A.C.E.: Another Century's Episode 3: The Final,2007,Simulation,Banpresto,PS2,0,0,0.26,0,0.26
vgsales_ID_116,A.C.E.: Another Century's Episode Portable,2011,Simulation,Namco Bandai Games,PSP,0,0,0.12,0,0.12
vgsales_ID_117,A.C.E.: Another Century's Episode R,2010,Simulation,Namco Bandai Games,PS3,0,0,0.26,0,0.26
vgsales_ID_118,ABBA: You Can Dance,2011,Misc,Ubisoft,Wii,0.19,0.5,0,0.11,0.8
vgsales_ID_119,AC/DC LIVE: Rock Band Track Pack,2008,Misc,MTV Games,"Wii, PS3, X360, PS2",0.75,0.07,0,0.08,0.91
vgsales_ID_120,AIR,2007,Adventure,Prototype,PSP,0,0,0.02,0,0.02
vgsales_ID_121,AKB1/149: Love Election,2012,Adventure,Namco Bandai Games,"PSP, PSV",0,0,0.3,0,0.3
vgsales_ID_122,AKB1/149: Love Election,2013,Adventure,Namco Bandai Games,PS3,0,0,0.08,0,0.08
vgsales_ID_123,AKB1/48: Idol to Guam de Koishitara...,2011,Misc,Namco Bandai Games,PSP,0,0,0.4,0,0.4
vgsales_ID_124,AKB1/48: Idol to Koishitara...,2010,Misc,Namco Bandai Games,PSP,0,0,0.41,0,0.41
vgsales_ID_125,AKB48+Me,2012,Action,Unknown,3DS,0,0,0.11,0,0.11
vgsales_ID_126,AMF Bowling 2004,2003,Sports,Mud Duck Productions,XB,0.22,0.06,0,0.01,0.3
vgsales_ID_127,AMF Bowling Pinbusters!,2007,Sports,Bethesda Softworks,Wii,0.85,0,0,0.07,0.91
vgsales_ID_128,AMF Bowling Pinbusters!,2008,Sports,Vir2L Studios,DS,0.06,0,0,0,0.07
vgsales_ID_129,AMF Bowling World Lanes,2008,Sports,Bethesda Softworks,Wii,0.33,0,0,0.03,0.36
vgsales_ID_130,AMF Xtreme Bowling,2006,Sports,Mastertronic,PS2,0.01,0.01,0,0,0.02
vgsales_ID_131,AMNESIA World,2014,Adventure,Idea Factory,PSV,0,0,0.03,0,0.03
vgsales_ID_132,APB Reloaded,2011,Role-Playing,Iceberg Interactive,PC,0.02,0.01,0,0,0.04
vgsales_ID_133,ASH: Archaic Sealed Heat,2007,Role-Playing,Nintendo,DS,0,0,0.12,0,0.12
vgsales_ID_134,ATV Offroad Fury,2001,Racing,Sony Computer Entertainment,PS2,2.07,0.26,0,0.08,2.41
vgsales_ID_135,ATV Offroad Fury 2,2002,Racing,THQ,PS2,1.92,0.2,0,0.06,2.18
vgsales_ID_136,ATV Offroad Fury 3,2004,Racing,SouthPeak Games,PS2,1,0.04,0,0.16,1.2
vgsales_ID_137,ATV Offroad Fury Pro,2006,Racing,Sony Computer Entertainment,PSP,0.37,0.04,0,0.05,0.46
vgsales_ID_138,ATV Offroad Fury: Blazin' Trails,2005,Racing,SouthPeak Games,PSP,0.53,0,0,0.04,0.57
vgsales_ID_139,ATV Quad Kings,2009,Racing,Zoo Digital Publishing,Wii,0.21,0,0,0.01,0.22
vgsales_ID_140,ATV Quad Kings,2010,Racing,Storm City Games,DS,0.1,0,0,0.01,0.11
vgsales_ID_141,ATV Quad Power Racing 2,2003,Racing,Acclaim Entertainment,"PS2, XB, GC",0.99,0.45,0,0.13,1.57
vgsales_ID_142,ATV/Monster Truck Mayhem,2007,Racing,"Destination Software, Inc",DS,0.33,0,0,0.02,0.36
vgsales_ID_143,ATV: Quad Frenzy,2005,Racing,Majesco Entertainment,DS,0.1,0,0,0.01,0.11
vgsales_ID_144,ATV: Quad Power Racing,2000,Racing,Acclaim Entertainment,PS,0.58,0.39,0,0.07,1.04
vgsales_ID_145,ATV: Quad Power Racing,2002,Racing,Liquid Games,GBA,0.18,0.07,0,0,0.26
vgsales_ID_146,Aa Megami-samaa,2007,Adventure,Marvelous Interactive,PS2,0,0,0.01,0,0.01
vgsales_ID_147,Abunai: Koi no Sousa Shitsu,2012,Action,Quinrose,PSP,0,0,0.01,0,0.01
vgsales_ID_148,Abunai: Koi no Sousa Shitsu,2015,Action,Asgard,PSV,0,0,0.02,0,0.02
vgsales_ID_149,Academy of Champions: Soccer,2009,Sports,Ubisoft,Wii,0.1,0.02,0,0.01,0.13
vgsales_ID_150,Accel World: Ginyoku no Kakusei,2012,Adventure,Namco Bandai Games,"PS3, PSP",0,0,0.06,0,0.06
vgsales_ID_151,Accel World: Kasoku no Chouten,2013,Adventure,Namco Bandai Games,"PS3, PSP",0,0,0.03,0,0.03
vgsales_ID_152,Ace Attorney 6,2016,Adventure,Capcom,3DS,0,0,0.27,0,0.27
vgsales_ID_153,Ace Attorney Investigations 2,2011,Adventure,Capcom,DS,0,0,0.26,0,0.26
vgsales_ID_154,Ace Attorney Investigations: Miles Edgeworth,2009,Adventure,Capcom,DS,0.27,0.15,0.3,0.04,0.76
vgsales_ID_155,Ace Combat 04: Shattered Skies,2001,Simulation,Sony Computer Entertainment Europe,PS2,2.06,0.56,0.38,0.17,3.17
vgsales_ID_156,Ace Combat 2,1997,Simulation,Sony Computer Entertainment,PS,0.16,0.11,0.56,0.06,0.89
vgsales_ID_157,Ace Combat 3: Electrosphere,1999,Simulation,Sony Computer Entertainment,PS,0.22,0.15,0.4,0.05,0.83
vgsales_ID_158,Ace Combat 5: The Unsung War,2004,Simulation,Sony Computer Entertainment Europe,PS2,0.88,0.34,0.32,0.18,1.71
vgsales_ID_159,Ace Combat 6: Fires of Liberation,2007,Simulation,Atari,X360,0.69,0.04,0.22,0.06,1.02
vgsales_ID_160,Ace Combat X: Skies of Deception,2006,Simulation,Namco Bandai Games,PSP,0.37,0.31,0.12,0.19,0.99
vgsales_ID_161,Ace Combat Zero: The Belkan War,2006,Simulation,Namco Bandai Games,PS2,0.15,0.12,0.2,0.04,0.51
vgsales_ID_162,Ace Combat: Assault Horizon,2011,Action,Namco Bandai Games,"PS3, X360",0.6,0.28,0.25,0.11,1.23
vgsales_ID_163,Ace Combat: Assault Horizon Legacy,2011,Simulation,Namco Bandai Games,3DS,0.1,0.06,0.08,0.01,0.24
vgsales_ID_164,Ace Combat: Joint Assault,2010,Simulation,Namco Bandai Games,PSP,0.06,0.05,0.15,0.03,0.29
vgsales_ID_165,Achtung Panzer: Kharkov 1943,2010,Strategy,Mamba Games,PC,0,0.01,0,0,0.02
vgsales_ID_166,Act of Aggression,2015,Strategy,Focus Home Interactive,PC,0,0.01,0,0,0.01
vgsales_ID_167,Action Bass,2000,Action,Take-Two Interactive,PS,0.64,0.43,0,0.07,1.14
vgsales_ID_168,Action Force,1982,Action,CPG Products,2600,0.5,0.03,0,0.01,0.54
vgsales_ID_169,Active Health with Carol Vorderman,2009,Sports,Nintendo,DS,0,0.18,0,0.01,0.19
vgsales_ID_170,Active Life Explorer,2010,Sports,Namco Bandai Games,Wii,0.14,0,0,0.01,0.15
vgsales_ID_171,Active Life: Extreme Challenge,2009,Sports,Namco Bandai Games,Wii,0.15,0.27,0,0.06,0.48
vgsales_ID_172,Active Life: Magical Carnival,2011,Misc,Namco Bandai Games,Wii,0.04,0.01,0,0,0.05
vgsales_ID_173,Active Life: Outdoor Challenge,2008,Sports,Atari,Wii,0.79,0.44,0.19,0.14,1.55
vgsales_ID_174,Activision Anthology,2002,Misc,Activision,PS2,0.25,0.19,0,0.06,0.5
vgsales_ID_175,Activision Anthology,2003,Misc,Activision,GBA,0.03,0.01,0,0,0.05
vgsales_ID_176,Activision Hits: Remixed,2006,Misc,Activision,PSP,0.05,0,0,0,0.06
vgsales_ID_177,Actua Tennis,1997,Sports,Gremlin Interactive Ltd,PS,0.07,0.05,0,0.01,0.13
vgsales_ID_178,Adidas Power Soccer,1996,Sports,Psygnosis,PS,0.02,0.01,0,0,0.04
vgsales_ID_179,Adidas Power Soccer 98,1998,Sports,Psygnosis,PS,0.01,0.01,0,0,0.02
vgsales_ID_180,Adrenalin Misfits,2010,Racing,Konami Digital Entertainment,X360,0.12,0.02,0,0.01,0.14
vgsales_ID_181,Advance Guardian Heroes,2004,Role-Playing,Ubisoft,GBA,0.03,0.01,0,0,0.04
vgsales_ID_182,Advance Wars,2001,Strategy,Nintendo,GBA,0.5,0.19,0,0.01,0.7
vgsales_ID_183,Advance Wars 2: Black Hole Rising,2003,Strategy,Nintendo,GBA,0.47,0.17,0,0.01,0.65
vgsales_ID_184,Advance Wars: Dual Strike,2005,Strategy,Nintendo,DS,0.3,0.03,0.04,0.03,0.4
vgsales_ID_185,Advent Rising,2005,Action,THQ,XB,0.1,0.03,0,0,0.13
vgsales_ID_186,Adventure Island,1986,Platform,Hudson Soft,NES,0,0,1.05,0,1.05
vgsales_ID_187,Adventure Time: Explore the Dungeon Because I Don't Know!,2013,Action,D3Publisher,"3DS, X360, PS3, WiiU",0.17,0.1,0,0.03,0.3
vgsales_ID_188,Adventure Time: Finn & Jake Investigations,2015,Action,Little Orbit,"PS3, X360, PS4, 3DS, WiiU, XOne",0.14,0.26,0,0.05,0.45
vgsales_ID_189,Adventure Time: The Secret of the Nameless,2014,Adventure,Little Orbit,"3DS, X360",0.02,0,0,0,0.03
vgsales_ID_190,Adventure Time: The Secret of the Nameless Kingdom,2014,Action,Little Orbit,"X360, 3DS",0,0.15,0,0.01,0.17
vgsales_ID_191,Adventures of Lolo,1989,Puzzle,HAL Laboratory,NES,0.06,0,0,0,0.06
vgsales_ID_192,Adventures of Tron,1981,Action,Mattel Interactive,2600,0.63,0.03,0,0.01,0.67
vgsales_ID_193,Adventures to Go!,2008,Role-Playing,Zushi Games,PSP,0.1,0,0.01,0.01,0.13
vgsales_ID_194,Aedis Eclipse: Generation of Chaos,2006,Role-Playing,Idea Factory,PSP,0.02,0,0,0,0.02
vgsales_ID_195,Aegis of Earth: Protonovus Assault,2016,Action,PQube,"PSV, PS3, PS4",0.05,0.02,0,0.01,0.09
vgsales_ID_196,Aeon Flux,2005,Action,THQ,"PS2, XB",0.03,0.02,0,0.01,0.05
vgsales_ID_197,Aero Elite: Combat Academy,2002,Simulation,Sega,PS2,0.04,0.03,0,0.01,0.07
vgsales_ID_198,Aero Gauge,1997,Racing,ASCII Entertainment,N64,0.06,0.01,0,0,0.07
vgsales_ID_199,AeroFighters Assault,1997,Action,Video System,N64,0.15,0.04,0,0,0.19
vgsales_ID_200,Afrika,2008,Adventure,Unknown,PS3,0.12,0,0.08,0.01,0.21
vgsales_ID_201,Afro Samurai,2009,Action,Atari,"X360, PS3",0.28,0.1,0,0.05,0.44
vgsales_ID_202,After Hours Athletes,2011,Sports,Sony Computer Entertainment,PS3,0,0.1,0,0.03,0.12
vgsales_ID_203,Again,2009,Adventure,Ackkstudios,DS,0.07,0,0,0,0.07
vgsales_ID_204,Agassi Tennis Generation,2003,Sports,DreamCatcher Interactive,PS2,0.04,0.03,0,0.01,0.09
vgsales_ID_205,Agatha Christie's The ABC Murders,2016,Adventure,Microids,PS4,0.01,0.01,0,0,0.02
vgsales_ID_206,Agatha Christie: And Then There Were None,2008,Adventure,The Adventure Company,Wii,0.06,0.01,0,0.01,0.08
vgsales_ID_207,Agatha Christie: Death on the Nile,2008,Adventure,Big Fish Games,PC,0,0.01,0,0,0.02
vgsales_ID_208,Agatha Christie: Evil Under the Sun,2008,Adventure,The Adventure Company,Wii,0.07,0.02,0,0.01,0.09
vgsales_ID_209,Agatha Christie: Peril at End House,2009,Adventure,JoWood Productions,PC,0,0.01,0,0,0.01
vgsales_ID_210,Agatha Christie: The ABC Murders,2009,Adventure,JoWood Productions,DS,0.08,0.01,0,0.01,0.1
vgsales_ID_211,Agatha Christie: The ABC Murders,2016,Adventure,Microids,PC,0,0.02,0,0,0.02
vgsales_ID_212,Age of Conan: Rise of the Godslayer,2010,Role-Playing,Funcom,PC,0,0.02,0,0,0.03
vgsales_ID_213,Age of Empires II: The Age of Kings,1999,Strategy,Microsoft Game Studios,PC,0.01,0.08,0,0.02,0.1
vgsales_ID_214,Age of Empires III,2005,Strategy,Microsoft Game Studios,PC,0,0.32,0,0.07,0.39
vgsales_ID_215,Age of Empires III: Complete Collection,2009,Strategy,Microsoft Game Studios,PC,0.01,0.12,0,0.03,0.17
vgsales_ID_216,Age of Empires III: Gold Edition,2007,Strategy,Microsoft Game Studios,PC,0,0.02,0,0.01,0.03
vgsales_ID_217,Age of Empires III: The Asian Dynasties,2007,Strategy,Microsoft Game Studios,PC,0,0.05,0,0.01,0.07
vgsales_ID_218,Age of Empires Online,2011,Strategy,Microsoft Game Studios,PC,0.01,0.04,0,0.01,0.06
vgsales_ID_219,Age of Empires: Collector's Edition,2000,Strategy,Ubisoft,PC,0.02,0.1,0,0.02,0.14
vgsales_ID_220,Age of Empires: Mythologies,2008,Strategy,THQ,DS,0.17,0.03,0,0.02,0.22
vgsales_ID_221,Age of Empires: The Age of Kings,2006,Strategy,THQ,DS,0.19,0.02,0,0.02,0.23
vgsales_ID_222,Age of Mythology,2002,Strategy,Microsoft Game Studios,PC,0.02,0.06,0,0.01,0.09
vgsales_ID_223,Age of Mythology: The Titans,2003,Strategy,Microsoft Game Studios,PC,0.01,0.02,0,0,0.04
vgsales_ID_224,Aggressive Inline,2002,Sports,Acclaim Entertainment,"PS2, XB, GC",0.26,0.15,0,0.04,0.47
vgsales_ID_225,Agile Warrior F-111X,1995,Simulation,Virgin Interactive,PS,0.08,0.05,0,0.01,0.14
vgsales_ID_226,Aibou DS,2009,Adventure,Tecmo Koei,DS,0,0,0.08,0,0.08
vgsales_ID_227,Aidyn Chronicles: The First Mage,2001,Role-Playing,THQ,N64,0.08,0.02,0,0,0.1
vgsales_ID_228,Aikatsu! 2-nin no My Princess,2013,Action,Namco Bandai Games,3DS,0,0,0.26,0,0.26
vgsales_ID_229,Aikatsu! 365 Idol Days,2014,Adventure,Namco Bandai Games,3DS,0,0,0.13,0,0.13
